country,population,area,gini_index,happy_planet_index,hdi_index,world_happiness_score,sustainable_economic_development_assessment,gdp_billions,gdp_per_capita,gdp_growth_annual_pct,health_expenditure_pct_gdp,health_expenditure_per_person,education_expenditure_pct_gdp,education_expenditure_per_person,school_years,unemployment_pct,government_spending_score,government_expenditure_pct_gdp,political_rights_score,civil_liberties_score,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,tax_burden_score,overall_economic_freedom_score,women_mps_pct
Cyprus,800000,9241,34.80000000000001,30.7,0.8690000000000001,6.062051295999999,65.9,29.7,34970,1.6,6.76967432,2137,4.74608957488,1002.8698532211091,15,11.7,52.9,39.6,1,1,0.6,0.92,1.03,0.88,0.7799999999999999,56.7,41.3,71.2,75.2,67.8,17.9
Thailand,69000000,510890,44.5,37.30000000000001,0.755,5.938895226,52.4,828.529197080292,19967.360294117647,2.508029197080292,3.09402683,610,4.74608957488,1002.8698532211091,16,8.286029411764705,65.0404411764706,32.578676470588235,6,5,-0.76,0.38,0.14,0.04,-0.39,47.93722627737226,42.04890510948905,52.46715328467153,76.76641791044776,62.18721804511278,4.8
Congo (Dem. Rep.),81000000,2267048,42.1,26.8575,0.457,4.311033248999999,24.8,65,773,7.7,4.271359900000001,34,4.74608957488,1002.8698532211091,9,3.6,94.8,13.2,7,6,-2.3,-1.6300000000000001,-1.47,-1.6900000000000002,-1.42,23.9,27.3,24.1,73.2,52.1,8.9
United Kingdom,66000000,241930,32.4,31.9,0.922,7.103273392000001,74.6,2785.6,42481,2.2,9.876772110000001,4145,5.6934199329999995,2663.5813162628783,18,4.8,44.4,43,1,1,0.26,1.41,1.71,1.6800000000000002,1.84,93.8,79,92.2,65.2,78,32
Luxembourg,600000,2586,30.4,13.2,0.904,7.061380862999999,83.2,59.9,104003,4.5,6.047741959999999,6382,3.994390011,4762.326670214401,14,5.9,48.5,41.4,1,1,1.34,1.6800000000000002,1.6900000000000002,1.74,0.55,77.9,79,82.7,65.1,76.4,28.3
Kosovo,1900000,10887,23.2,26.8575,0.7228814814814815,6.149199963,52.08914728682171,18.4,9600,3.3,6.955829060441176,1510.5413533834587,4.74608957488,1002.8698532211091,13.711864406779661,8.286029411764705,77.9,27.1,3,4,-0.21000000000000002,-0.41000000000000003,-0.13,-0.42000000000000004,0.48000000000000004,59,45.4,52.3,93.2,66.6,23.086764705882352
Sierra Leone,8000000,71620,34,15.3,0.41900000000000004,4.089562416000001,32.9,10.8,1672,-21.5,18.31858759,256,2.6629099849999998,18.865105537318104,13.711864406779661,3,89.8,18.4,3,3,0.03,-1.21,-0.92,-0.7899999999999999,-0.59,29.6,22,33.6,79.9,51.8,12.4
Mauritius,1300000,2030,35.9,27.4,0.7899999999999999,6.174117564999999,60.2,25.9,20422,3.4,5.537171039999999,1099,4.916950225999999,499.26408819779687,15,7.8,80.7,25.4,1,2,0.99,0.9,1,0.6799999999999999,0.2,69.6,52.1,68.7,91,75.1,11.6
Lithuania,2900000,62680,37.9,21,0.8580000000000001,6.2729406359999995,67.4,86.1,29972,1.6,6.514780139999999,1875,4.485509871999999,742.1331105832494,17,9.200000000000001,63.9,34.7,1,1,0.7799999999999999,0.98,1.1599999999999997,0.99,2.06,66.7,50.9,73.8,86.4,75.3,21.3
Albania,2900000,27398,29,36.80000000000001,0.7849999999999999,4.639548302,53.1,34.2,11840,2.6,6.824438709999998,774,4.74608957488,1002.8698532211091,16,16.3,72.7,30.1,3,3,0.4,0.08,0.22,-0.4,-0.42000000000000004,25.4,39.9,54.1,85.1,64.5,27.9
Egypt,98000000,995450,31.8,23.8,0.6959999999999998,3.929344177,43.1,1132.4,12554,4.2,7.30822225,495,4.74608957488,1002.8698532211091,13,12,65.1,34.1,6,6,-1.42,-0.62,-0.8600000000000001,-0.53,-0.54,52.5,32.2,32.7,84.2,53.4,14.9
Finland,6000000,303815,27.2,31.3,0.92,7.7882518769999995,81.3,231.4,42165,0.4,9.44569068,3669,7.151559829999999,3569.6700358737107,19,9,2.3,57.1,1,1,1.07,1.94,1.82,2.03,2.22,82.7,89.8,89,66.5,74.1,42
Georgia,3700000,69700,40.1,31.1,0.7799999999999999,4.4507746699999995,55.4,37.2,10044,2.8,7.93235924,718,4.74608957488,1002.8698532211091,15,11.6,73.3,29.8,3,3,-0.37,0.57,1.05,0.32999999999999996,0.74,64.2,61.8,62.8,87,76.2,16
Israel,9000000,20330,42.8,28.8,0.903,7.331036091,66.5,300.6,35179,2.6,7.4313808,2819,5.739089966,2154.4517327115436,16,5.6,51.8,40.1,1,3,-0.88,1.3900000000000001,1.27,1.02,0.8300000000000001,83.1,61.2,78.2,60.9,72.2,27.5
Jamaica,2800000,10831,35,36.9,0.732,5.889759064,49.7,25.4,8976,1.1,5.925525649999999,511,6.020720005,292.35415095690286,13.711864406779661,13.3,77.2,27.6,2,3,0.25,0.49,0.14,-0.16,-0.17,56.6,39.4,60.9,80,69.1,17.5
Burkina Faso,19000000,273800,39.5,17.9,0.4230000000000001,4.646891117,33.4,32.80000000000001,1782,4,5.446772000000001,96,4.559939860999999,32.093844264287846,8,3,83.7,23.3,4,3,-0.92,-0.59,-0.44,-0.4,-0.11,47.1,31.8,42.1,80.6,60,11
Iran,81000000,1531595,44.5,24,0.7979999999999999,4.716783046999999,48,1454.5,18078,0,7.594920359999998,1262,2.8013501169999997,155.22250245967433,15,11.3,91.1,17.2,6,6,-0.93,-0.19,-1.2,-0.6799999999999999,-0.81,35.30000000000001,32.6,32.5,81,50.9,5.9
Peru,32000000,1279996,45.3,34.6,0.75,5.710936545999998,49.3,406.2,12903,3.3,5.264804039999998,671,3.691210032,239.63572186744514,13,4.9,85.6,21.9,2,3,-0.26,-0.13,0.42000000000000004,-0.5,-0.5,33.5,36.6,56.9,80.6,68.7,27.7
Iceland,300000,100250,28,31.1,0.935,7.476213932000001,83.7,16.5,49136,4,8.6091496,4116,4.74608957488,1002.8698532211091,20,3.8,44.2,43.1,1,1,1.37,1.45,1.43,1.61,1.84,72.6,77.3,86.7,72.1,77,47.6
Chile,18000000,743812,50.5,31.7,0.8430000000000001,6.320119380999999,62.6,438.8,24113,2.1,8.07108586,1903,4.722819804999999,698.7086351655221,16,6.6,81.3,25,1,1,0.38,0.8500000000000001,1.34,1.01,1.04,63.4,61.2,67.9,78,75.2,15.8
Turkey,81000000,769632,40.2,26.4,0.7909999999999999,5.607262135000001,53.3,1988.3,24912,3.8,4.138533069999999,996,4.37116003,530.1107637062988,16,10.3,68.1,32.6,5,6,-1.8,0.07,0.04,-0.25,-0.19,54.5,42,54.7,74.7,65.4,14.6
Taiwan,24000000,32260,33.6,26.8575,0.7228814814814815,6.359450816999998,52.08914728682171,26,3008,3,6.8537354299999995,1510.5413533834587,4.74608957488,1002.8698532211091,13.711864406779661,10.8,71.4,30.9,1,1,0.89,1.27,1.37,1.1399999999999997,0.96,50.3,38.2,46.8,91.8,58.3,23.086764705882352
Honduras,9000000,111890,47.1,27.2,0.617,6.019985675999998,41.9,43.2,5272,3.6,7.592485489999999,353,4.74608957488,1002.8698532211091,11,6.3,76.6,27.9,4,4,-0.55,-0.51,-0.44,-1.05,-0.72,34.5,28.2,44.3,82.8,60.6,25.8
Algeria,41000000,2381740,35.30000000000001,33.30000000000001,0.754,5.248912333999999,45.8,612.5,15027,3.7,7.056687859999999,1031,4.74608957488,1002.8698532211091,14,11.2,45.9,42.5,6,5,-0.96,-0.6,-1.2,-0.8600000000000001,-0.61,35.2,29,27.8,74,44.7,25.8
France,67000000,549970,29.3,30.4,0.901,6.635222435000001,73.9,2733.7,42314,1.1,11.066442800000004,4542,5.5176000599999995,2373.048967229583,16,10,2.7,57,1,2,0.21000000000000002,1.35,1.1599999999999997,1.44,1.26,72.7,65.1,84,47.3,63.9,39
Costa Rica,4900000,51060,48.5,44.7,0.7939999999999999,7.225181579999999,58.9,80.7,16436,3.7,8.145584570000002,1286,6.858910083999999,729.170587049262,15,9,88.9,19.3,1,1,0.51,0.25,0.45,0.45,0.47000000000000003,57.8,51.8,54.8,79.3,65.6,35.1
Ethiopia,105000000,1000000,33,26.7,0.463,4.180315495,32.30000000000001,177.5,1946,10.200000000000001,4.046843680000001,66,4.74608957488,1002.8698532211091,8,5.7,90.6,17.7,7,6,-1.6900000000000002,-0.7,-1.01,-0.45,-0.56,37.6,37.7,31.1,76.5,52.8,38.80000000000001
Morocco,36000000,446300,40.9,32.7,0.6669999999999999,5.312482833999998,45.8,281.8,8330,4.5,5.527863619999999,435,4.74608957488,1002.8698532211091,12,10,70.5,31.4,5,5,-0.41000000000000003,-0.16,-0.23,-0.17,-0.13,44.3,41.3,53.8,70.5,61.9,20.5
Montenegro,600000,13452,31.9,25.1,0.814,5.6147985459999985,52.08914728682171,10.4,16643,4.1,5.970296170000001,957,4.74608957488,1002.8698532211091,15,17.5,35.7,46.3,3,3,0.01,0.15000000000000002,0.3,0.01,-0.09,51.3,38.1,54.2,85.2,64.3,23.5
Gabon,1900000,257667,42.2,17.5,0.702,4.782382965,40.9,35.9,19057,4,2.67891653,481,4.74608957488,1002.8698532211091,13.711864406779661,18.5,84.6,22.6,7,5,-0.09,-0.9400000000000001,-0.7899999999999999,-0.6799999999999999,-0.81,27.8,33.4,29.9,74.3,58,17.1
Saudi Arabia,33000000,2149690,45.9,26.8575,0.8530000000000001,6.294282436,62.6,1750.9,55158,3.4,6.347233949999999,3121,4.74608957488,1002.8698532211091,16,5.5,52,40,7,7,-0.62,0.25,0,0.1,0.36,60.2,49.9,53.1,99.7,59.6,19.9
Nepal,29000000,143351,32.80000000000001,30.5,0.574,4.7366924290000005,41.7,71.5,2479,3.4,6.146987209999998,151,3.9930200580000004,28.200252855837697,12,3.2,87.6,20.3,3,4,-0.6599999999999999,-0.88,-0.72,-0.6799999999999999,-0.75,36.2,24.6,37.5,84.2,54.1,29.6
Niger,21000000,1266700,34,16.8,0.354,4.615673541999999,52.08914728682171,20.1,1107,4,7.165197899999998,68,6.727709769999999,28.915091012452326,5,2.6,72.9,30.1,4,4,-1.3,-0.6699999999999999,-0.6799999999999999,-0.6799999999999999,-0.65,32.6,30.4,37.4,73.3,49.5,17
Mongolia,3000000,1553556,34,14.3,0.741,5.333850384,50.6,37,12275,2.3,3.8699188099999997,470,4.7148499489999995,197.15537869154528,15,6.7,57.1,37.80000000000001,1,2,0.8200000000000001,-0.26,-0.12000000000000001,-0.3,-0.45,30.9,34.80000000000001,51,88.4,55.7,17.1
Botswana,2200000,566730,60.5,16.6,0.717,3.504881144,44.1,36.7,17042,-0.3,5.970915859999998,970,4.74608957488,1002.8698532211091,13,18.4,63.4,34.9,3,2,1.03,0.43000000000000005,0.46,0.51,0.8,54.7,56.6,57.7,76.1,69.9,9.5
Ecuador,17000000,276841,45.9,37,0.752,5.839518546999998,48.1,183.6,11109,0,6.76967432,980,4.74608957488,1002.8698532211091,15,5.4,52.5,39.80000000000001,3,3,-0.1,-0.32,-1,-0.7,-0.6,23.3,30.2,36.7,79.4,48.5,38
Bosnia and Herzegovina,3900000,51187,33.80000000000001,25.3,0.768,5.089902401,50.2,42.2,10958,2.8,9.382560290000002,1102,4.74608957488,1002.8698532211091,14,25.8,41.5,44.1,4,4,-0.38,-0.48000000000000004,-0.15000000000000002,-0.21000000000000002,-0.52,43.7,28.4,39.5,83.5,61.4,21.4
Australia,25000000,7682300,30.3,21.2,0.939,7.257037639999999,78.9,1187.3,48899,2.5,9.44533327,4492,5.192669867999999,3236.4742114028095,20,5.7,61.2,36,1,1,0.9,1.54,1.93,1.6800000000000002,1.8,93.4,77.4,78.7,63,80.9,28.7
United Arab Emirates,9000000,83600,38.196875,26.8575,0.8630000000000001,7.039419651,70.4,668.9,67871,3.9,3.46589995,2426,4.74608957488,1002.8698532211091,13.711864406779661,3.7,70.9,31.2,7,6,0.63,1.4,1.01,0.8,1.1299999999999997,83.4,77.3,76.3,98.4,77.6,22.5
Tunisia,12000000,155360,40,26.2,0.735,4.124342917999999,49.3,130.6,11634,0.8,6.740490659999999,774,4.74608957488,1002.8698532211091,15,14.8,75.5,28.6,2,3,-1.05,-0.07,-0.41000000000000003,0.07,-0.11,41.7,36.80000000000001,49.4,73,58.9,31.3
Zambia,17000000,743398,57.5,25.2,0.588,3.9327774049999995,33.2,64.9,3880,3.6,5.354287369999998,203,4.74608957488,1002.8698532211091,13.711864406779661,7.5,80.2,25.7,4,4,0.11,-0.62,-0.47000000000000003,-0.32999999999999996,-0.54,40.6,36.30000000000001,46,72.1,54.3,18
Congo (Rep.),4500000,341500,48.9,18.8,0.606,4.8839912409999995,32.7,29.8,6676,2.5,3.4339117500000005,203,4.74608957488,1002.8698532211091,11,11.2,33.4,47.1,7,5,-0.53,-1.1900000000000002,-1.33,-1.1,-1.33,28.2,24.6,32.4,60.8,38.9,11.3
South Africa,57000000,1214470,62.5,15.9,0.6989999999999998,4.513655186,38.5,739.4,13225,1.3,8.20115459,1086,6.046939849999999,389.0572274696202,13,25.9,68.1,32.6,2,2,-0.27,0.2800000000000001,0.23,-0.01,-0.01,65.9,45.4,67.7,62.5,63,42
Kyrgyzstan,6000000,191801,33.4,33.1,0.6719999999999999,5.629536628999999,45.4,21.5,3521,3.5,8.21788363,287,5.531599998,70.79174527475111,13,7.7,58.2,37.30000000000001,5,5,-0.43000000000000005,-0.71,-0.35,-0.93,-0.32999999999999996,22.1,29.4,50.2,93.8,62.8,19.2
Argentina,44000000,2736690,41.7,35.2,0.8250000000000001,6.039330006,57.3,874.1,20048,1.2,2.9469784499999996,1390,5.361440182,656.522506614818,17,6.6,55.6,38.5,2,2,0.18,0.16,-0.29000000000000004,-0.25,-0.26,44.5,32.6,40.80000000000001,65.7,52.3,38.9
Libya,6000000,1759540,38.196875,26.8575,0.706,5.646852493,52.08914728682171,55.4,8679,-6.4,6.955829060441176,1510.5413533834587,4.74608957488,1002.8698532211091,13.711864406779661,19.2,0,92.9,7,6,-2.3299999999999996,-1.77,-2.21,-1.78,-0.69,22.1,23.1,5.2,90.5,62.18721804511278,16
Singapore,6000000,709.2,45.9,26.8575,0.932,6.378437996,81.8,492.6,87855,2,4.252175339999999,3681,4.74608957488,1002.8698532211091,13,1.8,90.6,17.7,4,4,1.59,2.21,2.12,1.82,2.13,90.9,91.2,98.4,90.4,88.8,23
Romania,20000000,229891,27.3,28.8,0.811,6.089904785,60,441.6,22348,3.7,10.64553884,1090,3.128509998,313.48460663453125,15,6.4,66.9,33.2,2,2,0.06,-0.17,0.49,0.39,-0.03,59.7,40,61,87.3,69.4,20.7
Malawi,19000000,94080,46.1,22.1,0.47700000000000004,3.416862964999999,32.5,21.1,1135,3,9.330971839999998,108,4.839839935,17.168141378569537,11,6.7,70.7,31.3,3,3,-0.27,-0.6699999999999999,-0.75,-0.37,-0.65,47.1,28.9,33.1,76.9,52,16.7
Italy,61000000,294140,31.9,28.1,0.88,6.198870182,69.1,2234.5,36833,0.8,8.99632037,3351,4.075250149,1442.50074982271,16,11.5,24.1,50.3,1,1,0.24000000000000002,0.5,0.7,0.32,0.19,60.9,40.1,71.2,55.2,62.5,31
Japan,127000000,364485,37.9,28.3,0.909,5.910676479,75.2,5237.8,41275,0.5,10.89815618,4405,3.59059,1368.3517428187556,15,3.1,54.1,39.1,1,1,1.12,1.62,1.37,1.57,1.52,73.2,79.2,86,67.4,72.3,9.3
Russia,144000000,16377742,41.2,18.7,0.816,5.578742981000001,57,3799.7,26490,-3.7,7.00916167,1414,4.74608957488,1002.8698532211091,15,5.7,62.5,35.30000000000001,7,6,-0.6699999999999999,-0.08,-0.48000000000000004,-0.7899999999999999,-0.89,46.9,38.1,48.7,85.8,58.2,15.8
